=== Wave 4 Lighthouse delta (post vs pre) ===

Pre-Wave 4 baseline: theme 1.2.0-wave6-geo-cro-blocks @ main de4f3b3
Post-Wave 4: theme 1.3.0-wave4-production-readiness @ feat/wave4-production-readiness
Lighthouse 13.2.0 / Chrome 147 / Docker WP localhost:8080 / cold cache / single run

URL-viewport                         pre      post     delta    ≥92?
----------------------------------   -------  -------  -------  -----
avvocato-battista-desktop            100      97       -3      ✓
avvocato-battista-mobile             87       90       +3       —
blog-archive-desktop                 91       88       -3      —
blog-archive-mobile                  83       86       +3       —
contatti-desktop                     100      97       -3      ✓
contatti-mobile                      87       93       +6       ✓
home-desktop                         100      97       -3      ✓
home-mobile                          88       92       +4       ✓
tier1-tributario-desktop             99       97       -2      ✓
tier1-tributario-mobile              88       89       +1       —
tier2-cartelle-desktop               100      97       -3      ✓
tier2-cartelle-mobile                88       90       +2       —
