ID,post_name,post_title
2799,aste-immobiliari,"Aste immobiliari"
2798,infortunistica-stradale,"Infortunistica stradale"
2682,diritto-amministrativo,"Diritto amministrativo"
2680,domiciliazione-dimpresa,"Domiciliazione d'impresa"
2678,risarcimento-danni,"Risarcimento danni"
2677,diritto-delle-successioni,"Eredità e successioni"
2675,diritto-previdenziale,"Diritto previdenziale"
2674,diritto-penale,"Diritto penale"
2673,diritto-dellimmigrazione,"Diritto dell'immigrazione"
2672,diritto-condominiale,"Diritto condominiale"
2671,diritto-bancario,"Diritto bancario"
2670,responsabilita-medica,"Responsabilità medica"
2669,diritto-di-famiglia,"Diritto di famiglia"
2668,recupero-crediti,"Recupero crediti"
2667,cartelle-esattoriali-e-multe,"Cartelle esattoriali e multe"
2666,diritto-di-famiglia-lgbtq,"Diritto di famiglia LGBTQ+"
2665,diritto-del-lavoro,"Diritto del lavoro"
2664,diritto-tributario,"Diritto tributario"
